date,position,track_name,artists_name,album_name,album_release_date,track_link,artists_link,album_link,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_id,album_id
2003-02-25,3,Beautiful,Christina Aguilera,Stripped,2002-07-19,https://open.spotify.com/track/3TCauNPqFiniaYHBvEVoHG,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS,https://open.spotify.com/album/2USigX9DhGuAini71XZEEK,238560,67,False,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,4,3TCauNPqFiniaYHBvEVoHG,2USigX9DhGuAini71XZEEK
2003-02-25,4,Sing For The Moment,Eminem,The Eminem Show,2002-05-26,https://open.spotify.com/track/3CpoeW0cZSDzIRv5z34F87,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo,339546,78,True,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,4,3CpoeW0cZSDzIRv5z34F87,2cWBwpqMsDJC1ZUwz813lo
2003-02-25,5,Jealous,Nina,Heaven,2002-08-05,https://open.spotify.com/track/4kG2BTaz7cZEpt2qK8doYH,https://open.spotify.com/artist/2tQbSWgZLIB8MXMnsXVRro,https://open.spotify.com/album/6xN075I3XzG40aEOzWXERj,255213,50,False,0.711,0.36,11,-11.237,0,0.0331,0.385,9.82e-06,0.111,0.381,127.928,4,4kG2BTaz7cZEpt2qK8doYH,6xN075I3XzG40aEOzWXERj
2003-02-25,6,I'm with You,Avril Lavigne,Let Go,2002-06-04,https://open.spotify.com/track/1jlG3KJ3gdYmhfuySFfpO1,https://open.spotify.com/artist/0p4nmQO2msCgU4IF37Wi3j,https://open.spotify.com/album/3zXjR3y2dUWklKmmp6lEhy,223066,69,False,0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,3,1jlG3KJ3gdYmhfuySFfpO1,3zXjR3y2dUWklKmmp6lEhy
2003-02-25,7,Boy (I Need You),"Mariah Carey, Cam’ron",Charmbracelet,2002-12-02,https://open.spotify.com/track/4nyTG4faxWrcECCW8ZYvol,"https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ, https://open.spotify.com/artist/7iMvwE8qANp3aIfAGKEAwS",https://open.spotify.com/album/2UYie72CXeuwIB7YepDidw,314826,32,False,0.741,0.717,1,-7.08,1,0.0521,0.452,0,0.0739,0.748,84.993,4,4nyTG4faxWrcECCW8ZYvol,2UYie72CXeuwIB7YepDidw
2003-02-25,8,Passenger Seat,Stephen Speaks,No More Doubt,2000-11-28,https://open.spotify.com/track/67E65R1XMIKCzRrJ3pC5IS,https://open.spotify.com/artist/0AvtzKTYleNqdJXoZasQWG,https://open.spotify.com/album/2t4bCfUZm0LrlRilda2B4G,248976,52,False,0.55,0.584,7,-9.93,1,0.0271,0.0237,0,0.19,0.806,153.001,4,67E65R1XMIKCzRrJ3pC5IS,2t4bCfUZm0LrlRilda2B4G
2003-02-25,9,Mesmerize,"Ja Rule, Ashanti",The Last Temptation,2002-11-22,https://open.spotify.com/track/4X25vRXOMu8nihzNtYhP2n,"https://open.spotify.com/artist/1J2VVASYAamtQ3Bt8wGgA6, https://open.spotify.com/artist/5rkVyNGXEgeUqKkB5ccK83",https://open.spotify.com/album/1XJ5cvwBXVFq30e2ZCsguE,278693,56,True,0.768,0.652,1,-6.589,1,0.194,0.0564,0,0.425,0.387,90.064,4,4X25vRXOMu8nihzNtYhP2n,1XJ5cvwBXVFq30e2ZCsguE
2003-02-25,10,Wake Up,Slapshock,Project 11-41,2002,https://open.spotify.com/track/4upnmoEhqDvgGvjECULs11,https://open.spotify.com/artist/50ifAXDdkDGG0RTON2If8K,https://open.spotify.com/album/4HT68vKMq2sAz72WK1D33F,246826,36,False,0.658,0.97,2,-5.396,1,0.0811,0.0796,0,0.0495,0.551,106.364,4,4upnmoEhqDvgGvjECULs11,4HT68vKMq2sAz72WK1D33F
2003-10-01,1,Perfect,Simple Plan,Perfect,2003-08-26,https://open.spotify.com/track/4x5xIB7C8bU0YdVZvrtsbx,https://open.spotify.com/artist/2p4FqHnazRucYQHyDCdBrJ,https://open.spotify.com/album/7rEUw6iPB9x44406fjZeQv,277026,35,False,0.494,0.672,3,-4.877,1,0.0405,0.0273,0,0.105,0.557,156.208,4,4x5xIB7C8bU0YdVZvrtsbx,7rEUw6iPB9x44406fjZeQv
2003-10-01,2,"Swing, Swing",The All-American Rejects,The All-American Rejects,2002-10-15,https://open.spotify.com/track/003FTlCpBTM4eSqYSWPv4H,https://open.spotify.com/artist/3vAaWhdBR38Q02ohXqaNHT,https://open.spotify.com/album/0TvOeelcHQXYgPcyQiLhyR,233266,64,False,0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,4,003FTlCpBTM4eSqYSWPv4H,0TvOeelcHQXYgPcyQiLhyR
2003-10-01,3,尋找茱麗葉,Van Ness Wu,身體會唱歌,2002-08-09,https://open.spotify.com/track/4p9ZzfA7JRT1ha9rbem9L1,https://open.spotify.com/artist/2Lcyl3luks1H4TDORlJIUW,https://open.spotify.com/album/1pL4taYsCaud832QCxzaxQ,193173,7,False,0.694,0.833,6,-5.716,0,0.0572,0.138,0,0.225,0.75,124.025,4,4p9ZzfA7JRT1ha9rbem9L1,1pL4taYsCaud832QCxzaxQ
2003-10-01,4,愛不會一直等妳,朱孝天,流星雨,2001-08-27,https://open.spotify.com/track/2qAuIf5EdP2YBL0jBQORPx,https://open.spotify.com/artist/1bamHErloUc6v7IVV6xEep,https://open.spotify.com/album/0pjbq9vYCpLsHekvstNM0K,224773,18,False,0.73,0.7,11,-7.049,1,0.0283,0.00961,0,0.159,0.392,110.072,4,2qAuIf5EdP2YBL0jBQORPx,0pjbq9vYCpLsHekvstNM0K
2003-10-01,5,Here We Are,朱孝天,流星雨,2001-08-27,https://open.spotify.com/track/2QjZu9BTDeC6fMRSJxid8X,https://open.spotify.com/artist/1bamHErloUc6v7IVV6xEep,https://open.spotify.com/album/0pjbq9vYCpLsHekvstNM0K,257799,23,False,0.534,0.402,4,-7.605,1,0.0289,0.276,0,0.112,0.453,156.195,4,2QjZu9BTDeC6fMRSJxid8X,0pjbq9vYCpLsHekvstNM0K
2003-10-01,6,Forever's Not Enough,Sarah Geronimo,Acoustic Lokal 2,2004-05-13,https://open.spotify.com/track/52yBlzNew08nR50Ah8eA4D,https://open.spotify.com/artist/6aiCKnIN68hohzU3ZzNq48,https://open.spotify.com/album/4dEk1HMrTlTpfcawAu82PY,262853,3,False,0.574,0.26,2,-10.454,1,0.039,0.225,0,0.0915,0.112,143.457,4,52yBlzNew08nR50Ah8eA4D,4dEk1HMrTlTpfcawAu82PY
